,mmsi,imo,dataset,loitering,authorized_encounter,partial_encounter,pending_encounter,unknown_encounter,encounter,loitering_06,encounters_06,loitering_12,encounters_12,port_name,port_country,visit_times,last_port_name,last_port_country,last_visit_times,total_meetup,average_meetup,last_port_visit_month,avg_month_port_visit,meetup_since_last_port,month_since_last_port,likely_remaining_meetup,"('count', 'Kuril Islands (Japan v. Russia)')","('count', 'United States Exclusive Economic Zone (Alaska)')","('count', 'Guinea Bissau Exclusive Economic Zone')","('count', 'Chinese Exclusive Economic Zone')","('count', 'Japanese Exclusive Economic Zone')","('count', 'Kiribati Exclusive Economic Zone')","('count', 'Indonesian Exclusive Economic Zone')","('count', 'Canadian Exclusive Economic Zone')","('eez_visit', 'Kuril Islands (Japan v. Russia)')","('eez_visit', 'United States Exclusive Economic Zone (Alaska)')","('eez_visit', 'Guinea Bissau Exclusive Economic Zone')","('eez_visit', 'Chinese Exclusive Economic Zone')","('eez_visit', 'Japanese Exclusive Economic Zone')","('eez_visit', 'Kiribati Exclusive Economic Zone')","('eez_visit', 'Indonesian Exclusive Economic Zone')","('eez_visit', 'Canadian Exclusive Economic Zone')","('rfmo_visit', 'ACAP')","('rfmo_visit', 'APFIC')","('rfmo_visit', 'BOBP-IGO')","('rfmo_visit', 'CACFISH')","('rfmo_visit', 'CCAMLR')","('rfmo_visit', 'CCSBT')","('rfmo_visit', 'CCSBT-proposed')","('rfmo_visit', 'COREP')","('rfmo_visit', 'CPPS')","('rfmo_visit', 'EIFAAC')","('rfmo_visit', 'FFA')","('rfmo_visit', 'GFCM')","('rfmo_visit', 'IATTC')","('rfmo_visit', 'ICCAT')","('rfmo_visit', 'ICES')","('rfmo_visit', 'IOTC')","('rfmo_visit', 'IPHC')","('rfmo_visit', 'IWC')","('rfmo_visit', 'NAFO')","('rfmo_visit', 'NAMMCO')","('rfmo_visit', 'NASCO')","('rfmo_visit', 'NPAFC')","('rfmo_visit', 'NPFC')","('rfmo_visit', 'PICES')","('rfmo_visit', 'RECOFI')","('rfmo_visit', 'SEAFDEC')","('rfmo_visit', 'SIOFA')","('rfmo_visit', 'SPC')","('rfmo_visit', 'SPRFMO')","('rfmo_visit', 'SRFC')","('rfmo_visit', 'SWIOFC')","('rfmo_visit', 'WCPFC')",ETA,Call Sign,Name,Year Built,Latitude,Longitude,Heading,Flag,Deadweight,MMSI,Registered Owner,Speed,Builder,Port Of Registry,Navigation Status,at_port,MRGID_TER1,TERRITORY1,TERRITORY2,SOVEREIGN1,SOVEREIGN2,ISO_SOV1,in_eez,in_us_eez,in_five_eyes_eez,in_nato_eez,distance_us,nearest_us_territory
0,566041000,9437186.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,DAKAR,SEN,56.0,ALGECIRAS,ESP,10/26/22,0,0.0,2022-10,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11051100.0,9V9354,Cs Standard,14/11/2008,11.669567,-70.217567,73.0,Singapore,13067.0,566041000.0,Grace Ocean Pte Ltd,0.0,Shikoku Dockyard,Singapore,5-Moored,1.0,,,,,,,0.0,0.0,0.0,0.0,116.40785436873566,Virgin Islands
1,538003418,8617926.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,COLON,PAN,40.0,BHAVNAGAR,IND,6/8/17,0,0.0,2017-06,,0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
2,273435310,,public-global-carrier-vessels:v20201001,83,0,0,0,83,83,0,0,0,0,BELLSUND,SJM,42.0,VOLGO-KASPIYSKIY,RUS,4/6/22,166,0.597122302,2022-10,6.148148148,0,1.0,6.148148148,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,13.0,,83.0,70.0,,,83.0,,70.0,70.0,,,,,,,,,,,,4080200.0,UBAZ,Baskunchakskiy,,42.908333,47.945,356.0,Russia,1426.0,273435310.0,Loran Co Ltd,0.0,Baltiya,St Petersburg,1-AtAnchor,0.0,,,,,,,0.0,0.0,0.0,0.0,98.95090708566313,Palau
3,431600125,,public-global-carrier-vessels:v20201001,2,2,0,0,0,2,0,0,0,0,HIRADO,JPN,99.0,HIRADO,JPN,3/21/21,4,0.013071895,2021-07,2.0,0,16.0,32.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,2.0,0.0,JM5656,Genpukumaru No.63,1987-09-00,33.374742,129.538933,159.9,Japan,,431600125.0,Toyo Gyogyo KK-Tokyo,0.0,Nagasaki,"Hirado, Nagasaki",15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,130.52233043827906,Maine
4,273815000,,public-global-carrier-vessels:v20201001,115,1,0,1,113,115,12,13,35,27,VLADIVOSTOK,RUS,47.0,VLADIVOSTOK,RUS,10/11/22,230,1.464968153,2022-10,8.25,0,1.0,8.25,,,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,113.0,,,,,,113.0,,,,,,,,114.0,10111500.0,UAKG,Aleut,,43.061682,131.882833,348.0,Russia,1061.0,273815000.0,Antey LLC,0.0,Baltijos,Nakhodka,5-Moored,1.0,,,,,,,0.0,0.0,0.0,0.0,139.5778707651709,Maine
5,273217620,9041564.0,public-global-carrier-vessels:v20201001,10,0,0,0,10,10,1,3,1,3,SHAKOTAN,RUS,56.0,SHAKOTAN,RUS,10/28/22,20,0.2,2022-10,3.666666667,2,1.0,1.666666667,2.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,10.0,,,,,,10.0,,,,,,,,10.0,11072030.0,UBWW,Ostrovnoy-12,26/12/1991,43.871667,146.823333,321.0,Russia,560.0,273217620.0,Interrybflot OOO-RUS,0.0,Izutsu,Nevelsk,5-Moored,1.0,,,,,,,0.0,0.0,0.0,0.0,149.73254770685034,Maine
6,355739000,,public-global-carrier-vessels:v20201001,162,160,0,1,0,161,35,36,65,61,SINGAPORE,SGP,16.0,SHIMIZU,JPN,10/23/22,323,3.845238095,2022-10,13.32,1,1.0,12.32,,,,,,,,,,,,,,,,,162.0,,,,,40.0,,,1.0,,,,8.0,25.0,,128.0,,162.0,,17.0,,,,,,26.0,107.0,,8.0,,3.0,1.0,10230430.0,3FLP5,Harima,16/05/2018,35.041738,138.511385,171.0,Panama,7293.0,355739000.0,Wang Tat Corp Pte Ltd,0.0,Kyokuyo Shipyard Corp,Panama,5-Moored,1.0,,,,,,,0.0,0.0,0.0,0.0,137.61035173642085,Maine
7,218325000,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,IJMUIDEN,NLD,37.0,IJMUIDEN,NLD,8/11/18,0,0.0,2018-08,,0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
8,525223344,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,NIZAM ZACHMAN JAKARTA,IDN,3.0,NIZAM ZACHMAN JAKARTA,IDN,9/10/21,0,0.0,2021-09,,0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Starindo Jaya Viii,,-8.555368,137.984395,239.4,,,525223344.0,,0.7,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,108.49173826023862,Maine
9,373417000,9133317.0,public-global-carrier-vessels:v20201001,87,36,51,0,0,87,0,0,1,1,BUSAN,KOR,19.0,POHNPEI,FSM,10/8/22,174,2.597014925,2022-10,10.875,0,1.0,10.875,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,33.0,,3.0,,,,,87.0,,,,,11.0,,,,,33.0,40.0,,,84.0,11201500.0,H3RL,Hanaro,28/06/1996,2.48517,141.783417,282.0,Panama,5080.0,373417000.0,Dongwon Industries Co Ltd,12.4,Kyokuyo Shipyard Corp,Panama,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,117.93314613930004,Maine
10,525800405,,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,NIZAM ZACHMAN JAKARTA,IDN,9.0,NIZAM ZACHMAN JAKARTA,IDN,10/2/22,0,0.0,2022-10,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,YB5581,Km.tri Jaya 26,,-6.004502,106.809782,4.8,,,525800405.0,,4.9,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,85.94623161886508,Maine
11,440196000,8702630.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,BUSAN,KOR,14.0,CHITTAGONG,BGD,2/17/20,0,0.0,2020-02,,0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11160800.0,D7FD,St Ocean,01/11/2005,36.198433,136.130082,28.0,"Korea, South",4837.0,440196000.0,Seatras Co Ltd,0.0,Amakusa,Jeju,5-Moored,1.0,,,,,,,0.0,0.0,0.0,0.0,136.9159996824564,Maine
12,636017010,8517358.0,public-global-carrier-vessels:v20201001,3,0,0,0,3,3,0,0,0,0,LAS PALMAS,ESP,7.0,NINGDE,CHN,1/4/17,6,0.136363636,2017-01,6.0,0,69.0,414.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,3.0,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,-64.33212,-74.013375,143.0,,,636017010.0,,15.8,,,0-Underway(Engine),0.0,,,,,,,0.0,0.0,0.0,0.0,91.68898822763487,Virgin Islands
13,273827710,8727147.0,public-global-carrier-vessels:v20201001,43,1,0,0,42,43,0,0,0,0,NAKHODKA,RUS,95.0,VLADIVOSTOK,RUS,10/22/19,86,0.396313364,2019-10,3.307692308,2,37.0,120.3846154,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,42.0,,,,,,42.0,,,,,,,,42.0,10231000.0,UFBO,Titaniya,,43.089362,131.888975,0.0,Russia,474.0,273827710.0,  Unknown,0.0,Kirova - Khabarovsk - USR,Nakhodka                              ,5-Moored,1.0,,,,,,,0.0,0.0,0.0,0.0,139.6035868362653,Maine
14,354655000,9011301.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,BARBATE,ESP,77.0,SHIMIZU,JPN,3/8/22,0,0.0,2022-03,,0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3082330.0,3ERM8,Reina Cristina,,35.033022,138.508015,222.0,,,354655000.0,,0.0,,,5-Moored,1.0,,,,,,,0.0,0.0,0.0,0.0,137.6015991412048,Maine
15,368175000,,public-global-carrier-vessels:v20201001,5,5,0,0,0,5,0,0,0,0,KODIAK,USA,52.0,KODIAK,USA,10/7/22,10,0.039525692,2022-10,5.0,0,1.0,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,0.0,WDF7411,Naknek Spirit,,56.73832,-154.119827,83.5,,,368175000.0,,3.6,,,15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,173.83763648096405,Palau
16,372538000,8618865.0,public-global-carrier-vessels:v20201001,19,0,0,0,18,18,0,0,0,0,FUZHOU,CHN,14.0,ALANG,IND,8/27/18,37,0.840909091,2018-08,4.75,0,51.0,242.25,,,,,,,,,,,,,,,,,19.0,,,,,12.0,,,1.0,,,,1.0,12.0,,,,19.0,,,,6.0,6.0,6.0,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
17,259128000,8609412.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,TROMSO,NOR,20.0,HONNINGSVAG,NOR,6/5/22,0,0.0,2022-06,,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10060400.0,JXNI,Meredian Guard,02/03/1987,62.4697,6.1191,249.0,Norway,190.0,259128000.0,  Unknown,0.0,Sao Jacinto,Tromso                                ,8-Underway(Sailing),0.0,,,,,,,0.0,0.0,0.0,0.0,68.72092964547548,Palau
18,372594000,8319055.0,public-global-carrier-vessels:v20201001,46,46,0,0,0,46,0,0,4,0,TARAWA,KIR,22.0,TARAWA,KIR,10/19/22,92,0.681481481,2022-10,15.33333333,0,1.0,15.33333333,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,46.0,,,,,,,46.0,,,,,,,,,,46.0,,,,46.0,11060400.0,3EJQ3,Euro Star,19/07/1984,6.991803,158.160002,148.0,Panama,5522.0,372594000.0,Eastern Star Shipping Co Ltd,0.1,Kitanihon,Panama,1-AtAnchor,0.0,,,,,,,0.0,0.0,0.0,0.0,133.9013245934848,Maine
19,671731000,7302548.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,BUSAN,KOR,2.0,BUSAN,KOR,10/6/16,0,0.0,2016-10,,0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A
20,431200142,,public-global-carrier-vessels:v20201001,2,2,0,0,0,2,0,0,0,0,KUSHIRO,JPN,125.0,KUSHIRO,JPN,10/29/22,4,0.01242236,2022-10,4.0,0,1.0,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,2.0,0.0,JH3360,Genpukumaru No.61,22/03/1996,33.374592,129.537915,148.4,Japan,400.0,431200142.0,Toyo Gyogyo KK-Tokyo,0.0,Izutsu,"Hirado, Nagasaki",15-NotDefined,0.0,,,,,,,0.0,0.0,0.0,0.0,130.52157093889548,Maine
21,511100124,8806242.0,public-global-carrier-vessels:v20201001,0,0,0,0,0,0,0,0,0,0,CARTAGENA,ESP,10.0,LAS PALMAS,ESP,10/2/22,0,0.0,2022-10,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11092005.0,T8A3212,Atlantic Rose,08/07/1988,31.191667,29.725,316.0,Palau,5311.0,511100124.0,  Unknown,0.0,Shikoku Dockyard,Malakal Harbour,1-AtAnchor,0.0,,,,,,,0.0,0.0,0.0,0.0,96.50235831052643,Virgin Islands
22,440014000,9009669.0,public-global-carrier-vessels:v20201001,42,42,0,0,0,42,0,0,10,10,BANGKOK,THA,20.0,POHNPEI,FSM,10/27/22,84,0.84,2022-10,21.0,0,1.0,21.0,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,42.0,,,,,,,42.0,,,,,,,,,,42.0,,,,42.0,11040800.0,D7AL,Lake Nova,05/10/1991,7.1081,171.342117,85.0,"Korea, South",6454.0,440014000.0,Ji Sung Shipping Co Ltd,0.1,Kitanihon,Jeju,1-AtAnchor,0.0,,,,,,,0.0,0.0,0.0,0.0,145.06790242736864,Maine
23,273332290,9076272.0,public-global-carrier-vessels:v20201001,239,0,0,0,239,239,42,21,55,55,BUSAN,KOR,59.0,BUSAN,KOR,10/11/22,478,1.522292994,2022-10,9.192307692,0,1.0,9.192307692,,,,,,,,,,,,,,,,,237.0,,,,,,,,,,,,,,,,,237.0,,,,,,228.0,,,,,,,,239.0,11110600.0,UFLQ,Bukhta Russkaya,10/09/1994,60.233087,166.147052,79.0,Russia,6670.0,273332290.0,Okeanrybflot JSC,0.0,61 Kommunara,Petropavlovsk-Kamchatskiy,1-AtAnchor,0.0,,,,,,,0.0,0.0,0.0,0.0,159.4120769171599,Alaska
