,months_since_jan_2012,event_id,years_since_operation
0,-77,15,-6
1,-76,11,-6
2,-75,18,-6
3,-74,22,-6
4,-73,31,-6
5,-72,7,-5
6,-71,9,-5
7,-70,1,-5
8,-69,5,-5
9,-68,8,-5
10,-67,7,-5
11,-66,4,-5
12,-65,2,-5
13,-64,2,-5
14,-63,4,-5
15,-62,10,-5
16,-61,6,-5
17,-60,24,-4
18,-59,27,-4
19,-58,7,-4
20,-57,10,-4
21,-56,5,-4
22,-55,1,-4
23,-54,5,-4
24,-53,1,-4
25,-52,2,-4
26,-51,5,-4
27,-50,3,-4
28,-49,7,-4
29,-48,4,-3
30,-47,6,-3
31,-46,45,-3
32,-45,29,-3
33,-44,30,-3
34,-43,18,-3
35,-42,23,-3
36,-41,12,-3
37,-40,7,-3
38,-39,1,-3
39,-38,5,-3
40,-37,8,-3
41,-36,5,-2
42,-34,7,-2
43,-33,2,-2
44,-32,3,-2
45,-31,2,-2
46,-30,3,-2
47,-29,3,-2
48,-28,3,-2
49,-27,2,-2
50,-26,1,-2
51,-25,4,-2
52,-24,1,-1
53,-23,1,-1
54,-22,2,-1
55,-21,10,-1
56,-20,1,-1
57,-19,3,-1
58,-18,1,-1
59,-17,32,-1
60,-16,1,-1
61,-15,1,-1
62,-14,5,-1
63,-13,6,-1
64,-12,22,0
65,-11,3,0
66,-10,8,0
67,-9,10,0
68,-8,4,0
69,-7,4,0
70,-6,9,0
71,-5,2,0
72,-4,1,0
73,-3,4,0
74,-2,1,0
75,-1,3,0
76,0,7,1
77,1,3,1
78,2,5,1
79,3,2,1
80,4,1,1
81,5,2,1
82,6,1,1
83,7,3,1
84,8,4,1
85,9,1,1
86,10,2,1
87,11,4,1
88,12,2,2
89,14,2,2
90,15,1,2
91,16,1,2
92,17,1,2
93,19,4,2
94,20,1,2
95,21,5,2
96,24,3,3
97,25,1,3
98,26,1,3
99,27,3,3
100,28,2,3
101,29,1,3
102,30,3,3
103,31,1,3
104,33,3,3
105,35,4,3
106,36,2,4
107,37,1,4
108,38,4,4
109,39,1,4
110,41,4,4
111,43,1,4
112,44,1,4
113,46,4,4
114,47,1,4
115,48,3,5
116,51,1,5
