MRGID,number_of_loitering,latitude,longitude,preferredGazetteerName
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
,1,,,
5678.0,1,42.44625,40.56174,Georgian EEZ
,1,,,
5691.0,1,41.87023,18.68015,Montenegrin EEZ
8309.0,1,-11.24358,105.36523,Christmas Island EEZ
,1,,,
8334.0,1,-11.42314,43.45423,Comoran EEZ
,2,,,
,2,,,
8313.0,2,-16.59488,168.56883,Vanuatu EEZ
8352.0,2,11.9971,43.43296,Djiboutian EEZ
,3,,,
,3,,,
8358.0,3,26.3354,50.70534,Bahraini EEZ
,3,,,
,3,,,
,3,,,
,3,,,
,3,,,
,3,,,
,4,,,
8341.0,4,-23.53682,40.10928,Ile Europa EEZ
,4,,,
,4,,,
8349.0,4,-3.53678,41.79278,Kenyan EEZ
8340.0,4,-20.86054,39.42518,Bassas da India EEZ
,4,,,
,4,,,
,5,,,
5673.0,5,43.43006,15.65218,Croatian EEZ
,5,,,
,5,,,
,5,,,
,5,,,
,6,,,
,6,,,
,6,,,
8357.0,6,29.18459,48.62908,Kuwaiti EEZ
,6,,,
,6,,,
,7,,,
,7,,,
,7,,,
8310.0,7,-29.09314,167.92898,Norfolk Island EEZ
,7,,,
8308.0,7,-12.03146,96.85434,Cocos Islands EEZ
,8,,,
,8,,,
,8,,,
,8,,,
,8,,,
,9,,,
8331.0,9,10.22543,102.54228,Cambodian EEZ
8339.0,10,-17.30663,42.09428,Juan de Nova EEZ
,10,,,
,10,,,
,10,,,
,10,,,
,11,,,
,12,,,
,12,,,
8375.0,13,32.57437,34.08805,Israeli EEZ
,13,,,
,13,,,
8374.0,13,33.90942,34.90392,Lebanese EEZ
,13,,,
,13,,,
,14,,,
5676.0,14,61.75484,21.88919,Finnish EEZ
5683.0,14,57.10433,21.35197,Latvian EEZ
,14,,,
,14,,,
,15,,,
,15,,,
,15,,,
8379.0,17,-7.94747,-14.36337,Ascension EEZ
,17,,,
8373.0,17,35.32871,35.49624,Syrian EEZ
,19,,,
8351.0,19,15.82346,40.59255,Eritrean EEZ
8355.0,19,19.74792,38.14367,Sudanese EEZ
,19,,,
,20,,,
,21,,,
,21,,,
8325.0,21,-17.98795,177.6661,Fijian EEZ
,22,,,
,22,,,
,23,,,
,24,,,
,27,,,
,27,,,
,28,,,
8319.0,30,19.50326,166.53046,Wake Island EEZ
,30,,,
,31,,,
,31,,,
,32,,,
,32,,,
,32,,,
,33,,,
,33,,,
,33,,,
,35,,,
8312.0,35,-21.01871,163.20377,New Caledonian EEZ
5675.0,35,58.77012,23.00232,Estonian EEZ
,36,,,
8360.0,36,24.94396,53.89303,United Arab Emirates EEZ
8353.0,38,12.88906,52.06161,Yemeni EEZ
5672.0,38,42.93396,29.20165,Bulgarian EEZ
3293.0,42,51.46545,2.70504,Belgian EEZ
5687.0,42,54.90857,17.2906,Polish EEZ
8345.0,44,2.48241,73.08337,Maldives EEZ
8338.0,46,-21.78197,54.71328,Réunion EEZ
