eez,event_id,id,iso3,label,preferredGazetteerName
48945,1,48945,MDG,Overlapping claim Glorioso Islands: France / Madagascar,
26526,1,26526,NLD,Sint-Eustatius Exclusive Economic Zone,
8334,1,8334,COM,Comoran Exclusive Economic Zone,
33185,1,33185,GUY,Overlapping claim: Trinidad and Tobago / Venezuela / Guyana,
8309,1,8309,AUS,Christmas Island Exclusive Economic Zone,
26518,1,26518,NLD,Saba Exclusive Economic Zone,
8418,1,8418,BRB,Barbados Exclusive Economic Zone,
5678,1,5678,GEO,Georgian Exclusive Economic Zone,
5691,1,5691,MNE,Montenegrin Exclusive economic Zone,
48972,1,48972,HND,Joint regime area Honduras / Cayman Islands,
48969,1,48969,BRB,Joint regime area Guyana / Barbados,
48971,1,48971,COL,Overlapping claim: Venezuela / Colombia / Dominican Republic,
48966,1,48966,FRA,Joint regime area Spain / France,
8352,2,8352,DJI,Djiboutian Exclusive Economic Zone,
21792,2,21792,JAM,Joint regime area Colombia / Jamaica,
49003,2,49003,CHN,Overlapping claim South China Sea,
8470,2,8470,IRQ,Iraqi Exclusive Economic Zone,
8341,2,8341,FRA,Ile Europa Exclusive Economic Zone,
8340,2,8340,FRA,Bassas da India Exclusive Economic Zone,
8313,2,8313,VUT,Vanuatu Exclusive Economic Zone,
8447,2,8447,NZL,Niue Exclusive Economic Zone,
8462,3,8462,FRA,French Guiana Exclusive Economic Zone,
8430,3,8430,GTM,Guatemalan Exclusive Economic Zone,
8449,3,8449,NZL,Tokelau Exclusive Economic Zone,
48948,3,48948,FRA,Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu,
48975,3,48975,ISL,Joint regime area Iceland / Norway (Jan Mayen),
8358,3,8358,BHR,Bahraini Exclusive Economic Zone,
8428,3,8428,SLV,El Salvador Exclusive Economic Zone,
8409,3,8409,DOM,Dominican Republic Exclusive Economic Zone,
8416,3,8416,LCA,Saint Lucia Exclusive Economic Zone,
8481,3,8481,BGD,Bangladeshi Exclusive Economic Zone,
8437,3,8437,NOR,Jan Mayen Exclusive Economic Zone,
8417,4,8417,DMA,Dominican Exclusive Economic Zone,
8357,4,8357,KWT,Kuwaiti Exclusive Economic Zone,
8349,4,8349,KEN,Kenyan Exclusive Economic Zone,
8405,4,8405,GBR,Turks and Caicos Exclusive Economic Zone,
48982,4,48982,USA,Overlapping claim: Puerto Rico / Dominican Republic,
33178,4,33178,FRA,Martinican Exclusive Economic Zone,
8439,4,8439,GBR,Pitcairn Islands Exclusive Economic Zone,
5673,5,5673,HRV,Croatian Exclusive Economic Zone,
8413,5,8413,KNA,Saint Kitts and Nevis Exclusive Economic Zone,
48970,5,48970,DOM,Joint regime area Colombia / Dominican Republic,
8419,5,8419,GRD,Grenadian Exclusive Economic Zone,
8468,5,8468,QAT,Qatari Exclusive Economic Zone,
26582,5,26582,SDN,Overlapping claim: Sudan / Egypt,
8479,6,8479,TZA,Tanzanian Exclusive Economic Zone,
21787,6,21787,CHL,Chilean Exclusive Economic Zone (Easter Island),
8380,6,8380,GBR,St. Helena Exclusive Economic Zone,
48975,6,48975,ISL,Joint regime area Iceland / Norway (Jan Mayen),
8310,6,8310,AUS,Norfolk Island Exclusive Economic Zone,
48970,6,48970,DOM,Joint regime area Colombia / Dominican Republic,
8454,7,8454,FRA,Wallis and Futuna Exclusive Economic Zone,
8445,7,8445,WSM,Samoan Exclusive Economic Zone,
8482,7,8482,MMR,Myanmar Exclusive Economic Zone,
8339,7,8339,FRA,Juan de Nova Exclusive Economic Zone,
8308,7,8308,AUS,Cocos Islands Exclusive Economic Zone,
33180,7,33180,USA,Virgin Islander Exclusive Economic Zone,
8401,8,8401,FRA,Clipperton Exclusive Economic Zone,
8350,8,8350,SOM,Somali Exclusive Economic Zone,
26520,8,26520,NLD,Bonaire Exclusive Economic Zone,
8331,8,8331,KHM,Cambodian Exclusive Economic Zone,
8457,8,8457,BLZ,Belizean Exclusive Economic Zone,
48957,8,48957,USA,Guam Exclusive Economic Zone,
26521,8,26521,BRN,Bruneian Exclusive Economic Zone,
8443,9,8443,USA,Palmyra Atoll Exclusive Economic Zone,
21788,9,21788,GBR,Guernsey Exclusive Economic Zone,
8381,10,8381,BRA,Brazilian Exclusive Economic Zone (Trindade),
48951,10,48951,HTI,Overlapping claim Navassa Island: USA / Haiti / Jamaica,
48951,10,48951,HTI,Overlapping claim Navassa Island: USA / Haiti / Jamaica,
48951,10,48951,HTI,Overlapping claim Navassa Island: USA / Haiti / Jamaica,
48951,10,48951,HTI,Overlapping claim Navassa Island: USA / Haiti / Jamaica,
48951,10,48951,HTI,Overlapping claim Navassa Island: USA / Haiti / Jamaica,
48951,10,48951,HTI,Overlapping claim Navassa Island: USA / Haiti / Jamaica,
48951,10,48951,HTI,Overlapping claim Navassa Island: USA / Haiti / Jamaica,
8466,10,8466,ARG,Argentinean Exclusive Economic Zone,
8448,10,8448,TON,Tongan Exclusive Economic Zone,
8374,11,8374,LBN,Lebanese Exclusive Economic Zone,
5683,11,5683,LVA,Latvian Exclusive Economic Zone,
8379,11,8379,GBR,Ascension Exclusive Economic Zone,
8426,12,8426,COL,Colombian Exclusive Economic Zone,
8415,12,8415,GBR,Montserrat Exclusive Economic Zone,
8432,12,8432,PER,Peruvian Exclusive Economic Zone,
8453,12,8453,USA,United States Exclusive Economic Zone (Hawaii),
8375,12,8375,ISR,Israeli Exclusive Economic Zone,
5676,12,5676,FIN,Finnish Exclusive Economic Zone,
26517,13,26517,NLD,Curaçaoan Exclusive Economic Zone,
48974,13,48974,ECU,Joint regime area Ecuador / Colombia,
8414,14,8414,ATG,Antigua and Barbuda Exclusive Economic Zone,
8407,14,8407,GBR,Cayman Islands Exclusive Economic Zone,
8325,15,8325,FJI,Fijian Exclusive Economic Zone,
8451,16,8451,USA,Howland and Baker Islands Exclusive Economic Zone,
26519,16,26519,NLD,Aruban Exclusive Economic Zone,
8373,17,8373,SYR,Syrian Exclusive Economic Zone,
48954,18,48954,TWN,Overlapping claim Senkaku Islands: Japan / China / Taiwan,
8351,18,8351,ERI,Eritrean Exclusive Economic Zone,
8444,19,8444,USA,American Samoa Exclusive Economic Zone,
8460,19,8460,GUY,Guyanese Exclusive Economic Zone,
8355,19,8355,SDN,Sudanese Exclusive Economic Zone,
8484,19,8484,VNM,Vietnamese Exclusive Economic Zone,
48974,19,48974,ECU,Joint regime area Ecuador / Colombia,
8452,20,8452,USA,Johnston Atoll Exclusive Economic Zone,
22756,20,22756,CHL,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),
8412,21,8412,GBR,Anguilla Exclusive Economic Zone,
8442,22,8442,USA,Jarvis Island Exclusive Economic Zone,
8431,22,8431,ECU,Ecuadorian Exclusive Economic Zone,
8420,23,8420,TTO,Trinidad and Tobago Exclusive Economic Zone,
8319,24,8319,USA,Wake Island Exclusive Economic Zone,
8446,25,8446,NZL,Cook Islands Exclusive Economic Zone,
8382,25,8382,GBR,Tristan Da Cunha Exclusive Economic Zone,
